,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.062,0.037,0.041,0.028,0.0
의무보유확약비율,0.114,0.072,0.077,0.103,0.0
(확정)공모가격,0.049,0.051,0.072,0.061,0.052
청약경쟁률,0.147,0.118,0.078,0.248,0.0
공모후 발행주식수,0.023,0.034,0.041,0.026,0.008
최대주주 소유주 비율,0.027,0.025,0.048,0.019,0.0
최대주주 보호예수 기간,0.009,0.011,0.007,0.008,0.0
보호예수 비율,0.058,0.038,0.076,0.06,0.0
총부채,0.024,0.027,0.024,0.021,0.003
자본금,0.023,0.034,0.024,0.017,0.001
영업이익,0.036,0.049,0.036,0.043,0.067
매출액,0.023,0.023,0.024,0.006,-0.002
부채비율,0.024,0.025,0.024,0.019,0.0
유동비율,0.025,0.021,0.033,0.014,0.0
영업이익률,0.026,0.029,0.03,0.037,0.0
당기순이익률,0.023,0.018,0.022,0.016,0.0
ROE,0.024,0.033,0.034,0.017,0.0
EPS,0.028,0.037,0.024,0.035,0.0
EV/영업이익,0.026,0.021,0.033,0.016,0.0
기업경기실사지수(BSI),0.015,0.027,0.015,0.007,0.0
소비심리지수(CSI),0.022,0.034,0.034,0.041,0.0
수출입 물량지수,0.022,0.021,0.029,0.008,0.0
외환보유액,0.031,0.04,0.03,0.024,0.005
원달러 환율,0.024,0.026,0.023,0.023,0.0
통화량 (M2),0.026,0.036,0.013,0.007,0.023
기준금리,0.011,0.023,0.006,0.007,0.0
국고채 금리 스프레드,0.022,0.031,0.017,0.023,0.0
KOSPI_1001,0.033,0.031,0.047,0.023,0.0
산업코스피,0.024,0.027,0.034,0.043,0.0
