,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.063,0.046,0.045,0.015,0.0
의무보유확약비율,0.103,0.076,0.085,0.091,0.0
(확정)공모가격,0.046,0.045,0.082,0.057,0.0
청약경쟁률,0.131,0.106,0.099,0.255,0.0
공모후 발행주식수,0.02,0.025,0.025,0.018,-0.01
최대주주 소유주 비율,0.024,0.02,0.034,0.019,0.0
최대주주 보호예수 기간,0.007,0.013,0.007,0.003,0.0
보호예수 비율,0.046,0.038,0.059,0.04,0.0
총부채,0.022,0.025,0.019,0.019,0.015
자본금,0.02,0.024,0.018,0.01,0.006
영업이익,0.031,0.04,0.027,0.043,0.061
매출액,0.022,0.025,0.024,0.006,-0.034
부채비율,0.02,0.025,0.022,0.015,0.0
유동비율,0.023,0.024,0.02,0.017,0.0
영업이익률,0.021,0.028,0.016,0.031,0.0
당기순이익률,0.023,0.029,0.019,0.031,0.0
ROE,0.023,0.024,0.026,0.015,0.0
EPS,0.025,0.026,0.016,0.024,0.0
EV/영업이익,0.018,0.022,0.022,0.029,0.0
기업경기실사지수(BSI),0.014,0.022,0.015,0.008,0.0
소비심리지수(CSI),0.021,0.025,0.03,0.032,0.0
수출입 물량지수,0.018,0.024,0.028,0.02,0.0
외환보유액,0.025,0.038,0.038,0.027,-0.001
원달러 환율,0.024,0.027,0.023,0.003,0.0
통화량 (M2),0.025,0.02,0.006,0.004,0.007
기준금리,0.011,0.016,0.006,0.002,0.0
국고채 금리 스프레드,0.02,0.024,0.015,0.008,0.0
KOSPI_1001,0.032,0.033,0.033,0.024,0.0
산업코스피,0.023,0.026,0.026,0.033,0.0
대표매매감정점수,0.053,0.041,0.056,0.07,0.0
호황,0.023,0.022,0.032,0.012,0.0
불황,0.023,0.02,0.027,0.02,0.0
