,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.069,0.06,0.058,0.041,0.0
의무보유확약비율,0.126,0.103,0.079,0.1,0.0
(확정)공모가격,0.064,0.059,0.068,0.057,0.0
청약경쟁률,0.158,0.15,0.088,0.249,0.0
공모후 발행주식수,0.03,0.036,0.061,0.026,0.006
최대주주 소유주 비율,0.04,0.029,0.064,0.028,0.0
최대주주 보호예수 기간,0.014,0.027,0.011,0.013,0.0
보호예수 비율,0.064,0.053,0.077,0.088,0.0
총부채,0.038,0.034,0.041,0.027,0.006
자본금,0.035,0.03,0.046,0.032,0.004
영업이익,0.046,0.045,0.058,0.073,0.075
매출액,0.034,0.032,0.052,0.019,-0.017
기업경기실사지수(BSI),0.029,0.039,0.029,0.041,0.0
생산자물가 상승률 (PPI),0.029,0.033,0.036,0.018,0.0
소비심리지수(CSI),0.026,0.033,0.03,0.021,0.0
소비자물가 상승률 (CPI),0.034,0.035,0.035,0.054,0.0
수출입 물량지수,0.031,0.031,0.031,0.026,0.0
외환보유액,0.031,0.037,0.032,0.011,0.0
원달러 환율,0.037,0.047,0.041,0.043,0.0
통화량 (M2),0.026,0.029,0.03,0.021,0.0
기준금리,0.011,0.027,0.002,0.004,0.0
국고채 금리 스프레드,0.028,0.031,0.033,0.009,0.0
