,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.109,0.068,0.092,0.069,0.0
의무보유확약비율,0.155,0.138,0.105,0.139,0.0
(확정)공모가격,0.094,0.093,0.097,0.085,0.0
청약경쟁률,0.193,0.22,0.097,0.288,0.0
공모후 발행주식수,0.05,0.064,0.101,0.047,0.006
최대주주 소유주 비율,0.06,0.046,0.094,0.041,0.0
최대주주 보호예수 기간,0.02,0.046,0.012,0.02,0.0
보호예수 비율,0.089,0.083,0.105,0.119,0.0
총부채,0.057,0.058,0.071,0.038,0.006
자본금,0.053,0.057,0.061,0.038,0.004
영업이익,0.071,0.075,0.093,0.092,0.075
매출액,0.048,0.051,0.073,0.024,-0.017
