,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.06083526146887812,0.051032074,223,0.03491329811868819,0.0
의무보유확약비율,0.09791220414949593,0.07940235,242,0.12856705844821562,0.0
(확정)공모가격,0.045677626986117804,0.055456296,156,0.09236912090234223,0.0
청약경쟁률,0.12888167594260178,0.13847554,221,0.19806943466259244,0.0
공모후 발행주식수,0.027115170591452707,0.02548613,79,0.010687149344365892,0.0
최대주주 소유주 비율,0.027340356628708956,0.022143284,148,0.032149911420377056,0.0
최대주주 보호예수 기간,0.012027626738947578,0.022452362,22,0.0015248234572995667,0.0
보호예수 비율,0.03816727389844533,0.028315285,165,0.003650924447332026,0.0
총부채,0.030833727952509993,0.025404578,65,0.0043224262564664755,0.0
자본금,0.02671975438670761,0.02236082,72,0.026470119376032313,0.0
영업이익,0.03787116504216253,0.026977701,69,0.059988018959063395,0.0012903225806451645
매출액,0.02197471413656092,0.024605284,92,0.0023835224636161913,0.0
부채비율,0.018629996433186413,0.022548126,111,0.0035607075035244463,0.0
유동비율,0.02876780066115357,0.022468595,86,0.028882589121266098,0.0
영업이익률,0.02174349172717594,0.020187195,47,0.006004880508377414,0.0
당기순이익률,0.02246432631972562,0.02094457,77,0.00308720822216861,0.0
ROE,0.029213774173310517,0.027034646,152,0.02543391943921937,0.0
EPS,0.03215682856487593,0.026873762,58,0.018076621172696015,0.0
EV/영업이익,0.018492393744905394,0.027080925,135,0.010538538978668934,0.0
기업경기실사지수(BSI),0.016314598796232087,0.025765277,33,0.012821537593185632,0.0
소비심리지수(CSI),0.02342893619022907,0.025201663,100,0.04186158496416037,0.0
수출입 물량지수,0.023469073068523597,0.032805044,108,0.02374869919862641,0.0
외환보유액,0.02287789974612416,0.027738165,85,0.019559897215393352,0.0
원달러 환율,0.02786199635368237,0.029643603,90,0.04010096530464198,0.0
통화량 (M2),0.027836382651832206,0.029065197,31,0.017699719159397057,0.0
기준금리,0.010981313404277515,0.031053,34,0.0032695868479091657,0.0
국고채 금리 스프레드,0.023816025151938366,0.02578753,48,0.030724785321920786,0.0
KOSPI_1001,0.024593206086363704,0.025277233,82,0.026410545445425673,0.0
산업코스피,0.024072529970228677,0.021645328,92,0.0011454225855930995,0.0
대표매매감정점수,0.04792286903364539,0.036768425,198,0.09197698356143419,0.0
