,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.09394102029891109,0.07151589,674,0.1245018917924982,0.0032258064516129
의무보유확약비율,0.14039982562490758,0.096279085,911,0.16684269553200723,0.054193548387096724
(확정)공모가격,0.07564429080162846,0.10337548,549,0.10912008755483715,0.017419354838709655
청약경쟁률,0.16757479283737625,0.23984076,935,0.22600357649328096,0.08451612903225802
공모후 발행주식수,0.04646999693317428,0.040062997,480,0.04346182522587638,-0.0032258064516129115
최대주주 소유주 비율,0.054524786467802205,0.04183263,391,0.0676971367808014,-0.011612903225806482
최대주주 보호예수 기간,0.024643553398062117,0.04220565,132,0.00021318448955155345,-0.00903225806451614
보호예수 비율,0.059111995194865624,0.040971532,582,0.04673778577124153,-0.005806451612903251
부채비율,0.04784647103142571,0.037844837,315,0.021438663013020755,-0.014838709677419393
유동비율,0.05171433119641516,0.04792388,434,0.03195822455050675,0.003225806451612878
영업이익률,0.04750405327698292,0.052144855,253,0.03264019468911524,0.014838709677419315
당기순이익률,0.03943632715859534,0.03643035,264,0.025541190578594542,0.004516129032258042
ROE,0.050155857359847913,0.04834382,628,0.05851528265112789,-0.004516129032258076
EPS,0.056960798940087376,0.053320933,368,0.013523686945647782,-0.005806451612903241
EV/영업이익,0.04407189947991807,0.0479073,448,0.03180457393189256,-0.009677419354838734
