,Accuracy,Precision,Recall,F1-score
RandomForest,0.7677419354838709,0.524093392945852,0.4893957583033213,0.49307359307359305
XGBoost,0.7741935483870968,0.7639729855612482,0.6555288782179538,0.6952695386690807
LightGBM,0.7612903225806451,0.6412698412698412,0.6091103107909831,0.6229567845947157
GradientBoosting,0.6903225806451613,0.5233333333333333,0.5132719754568494,0.5177517751775177
LogisticRegression,0.6258064516129033,0.20995670995670998,0.3299319727891156,0.2566137566137566
