,Accuracy,Precision,Recall,F1-score
RandomForest,0.7612903225806451,0.5113600995953936,0.48912898492730433,0.49105708282571464
XGBoost,0.7419354838709677,0.6898182957393484,0.6322529011604642,0.6539066426706875
LightGBM,0.7354838709677419,0.6229283210263294,0.5829665199413098,0.5986678377982727
GradientBoosting,0.7032258064516129,0.59201119352922,0.6796718687474991,0.6208123738151455
LogisticRegression,0.6258064516129033,0.20995670995670998,0.3299319727891156,0.2566137566137566
