,Accuracy,Precision,Recall,F1-score
RandomForest,0.7548387096774194,0.5043859649122807,0.49199679871948776,0.49336512544059713
XGBoost,0.6967741935483871,0.5422673656618611,0.5041349873282647,0.517864007064568
LightGBM,0.7225806451612903,0.5502645502645502,0.5302787781779379,0.5386096183509977
GradientBoosting,0.6774193548387096,0.5764550264550264,0.7056822729091637,0.6085337915234823
LogisticRegression,0.632258064516129,0.21075268817204298,0.3333333333333333,0.2582345191040843
