,Accuracy,Precision,Recall,F1-score
RandomForest,0.7677419354838709,0.512157382847038,0.4987995198079232,0.4994807892004154
XGBoost,0.7225806451612903,0.5726431338786052,0.5855675603574763,0.5764758993790751
LightGBM,0.7290322580645161,0.6021825396825397,0.6442577030812325,0.6174603174603175
GradientBoosting,0.7225806451612903,0.47298674821610603,0.47498999599839936,0.4724235104669887
LogisticRegression,0.6258064516129033,0.543859649122807,0.33306655995731627,0.26882051282051284
