,Accuracy,Precision,Recall,F1-score
RandomForest,0.7096774193548387,0.4756069888813252,0.45878351340536216,0.4622432859399684
XGBoost,0.6838709677419355,0.4704195345788266,0.4389088968920902,0.4474950518421674
LightGBM,0.6774193548387096,0.47000000000000003,0.4605842336934774,0.465244462590589
GradientBoosting,0.6645161290322581,0.5193355910337042,0.5330132052821128,0.5168845315904139
LogisticRegression,0.7032258064516129,0.5081699346405228,0.4177671068427371,0.41273380403815185
