,Accuracy,Precision,Recall,F1-score
RandomForest,0.7741935483870968,0.5195681511470985,0.5022008803521408,0.503788868565456
XGBoost,0.7354838709677419,0.6191833643186669,0.5923702814459116,0.6042391628745573
LightGBM,0.6645161290322581,0.5029411764705882,0.49026277177537686,0.4958249158249158
GradientBoosting,0.6709677419354839,0.4957542457542457,0.49052954515139385,0.4915808180008285
LogisticRegression,0.6258064516129033,0.543859649122807,0.33306655995731627,0.26882051282051284
