,RandomForest,XGBoost,LightGBM,LogisticRegression,GradientBoosting
청약경쟁률,0.1621466386357892,0.24290185,0.12957198443579768,0.9565217391304399,0.3180692136732423
의무보유확약비율,0.1431838537772207,0.09757573,0.11712062256809339,0.5724637681159448,0.17044820648577527
단순 기관경쟁률,0.08244290515580355,0.04808161,0.0821011673151751,0.0,0.06124664622580349
(확정)공모가격,0.07854163643684682,0.10660833,0.07431906614785992,0.15217391304347855,0.1336468855316681
보호예수 비율,0.06701564813491002,0.04872909,0.08015564202334631,-0.05797101449275411,0.06548988445151982
최대주주 소유주 비율,0.05499438275704853,0.045093853,0.05680933852140078,-0.1594202898550738,0.02106057207815122
EPS,0.05385110217607034,0.042574573,0.05330739299610895,-0.09420289855072544,0.038509295475660114
공모후 발행주식수,0.05080891654035209,0.033602357,0.07276264591439689,-0.10869565217391408,0.025557143466776067
EV/영업이익,0.04928343921280051,0.052678607,0.04824902723735409,-0.0942028985507258,0.035384703534387905
영업이익률,0.048777004119726367,0.066511035,0.038910505836575876,0.18840579710144964,0.019931669193683887
부채비율,0.04836297136024453,0.04397797,0.05525291828793774,-0.19565217391304512,0.015244718283922874
ROE,0.046894095565960726,0.055759136,0.07782101167315175,0.0,0.039107107075648954
유동비율,0.04636987750445818,0.05524366,0.05797665369649806,-0.05797101449275411,0.03120401360303978
당기순이익률,0.04369954945752427,0.030247865,0.03696498054474708,0.014492753623188028,0.014059544533336747
최대주주 보호예수 기간,0.023627979165244218,0.030414302,0.01867704280155642,-0.11594202898550836,0.011040396387383177
