,RandomForest,XGBoost,LightGBM,LogisticRegression,GradientBoosting
청약경쟁률,0.14727338396402198,0.21491063,0.11725749902610051,0.0,0.29102781142744905
의무보유확약비율,0.12461221162640525,0.08932907,0.10362290611608882,0.0,0.15892266888042475
단순 기관경쟁률,0.08137533771861889,0.0448552,0.08492403583950137,0.0,0.06963413454541258
보호예수 비율,0.06104825487787483,0.03809074,0.06349824698091157,0.0,0.06917793713132363
(확정)공모가격,0.06100294801812872,0.08854517,0.06661472536034281,0.0,0.12295975052040907
최대주주 소유주 비율,0.04363479852656528,0.037396237,0.0510323334631866,0.0,0.021273435557648677
영업이익,0.042232461608192634,0.037790634,0.025710946630307752,0.4177215189873428,0.03776470243871456
EPS,0.039551762395272305,0.039358143,0.026879626022594468,0.0,0.013063910730020797
유동비율,0.037972383480567494,0.039644063,0.04791585508375536,0.0,0.02650257718495928
매출액,0.037659034540803736,0.023425223,0.03194390338917024,-0.1012658227848109,0.025262693170681676
자본금,0.03690334178776125,0.051333454,0.032333463186599146,0.13924050632911347,0.033737687131602766
ROE,0.03600778080849346,0.052284326,0.07167900272691859,0.0,0.029109352428326553
총부채,0.035355255993073584,0.029182145,0.02843786521231009,0.025316455696202292,0.012281593275302885
영업이익률,0.03502862029274769,0.044432413,0.03272302298402805,0.0,0.011609546168361625
당기순이익률,0.034565108996999744,0.029734638,0.03544994156603039,0.0,0.016643314278392
총자산,0.03329873047262995,0.020613043,0.03856641994546163,0.4050632911392414,0.015942979526891388
EV/영업이익,0.03146258008004686,0.035899144,0.04168289832489287,0.0,0.01596765702586622
부채비율,0.031101361375636818,0.029979626,0.04207245812232178,0.0,0.011291538639663975
공모후 발행주식수,0.031065318077097125,0.026333053,0.04596805609661083,0.11392405063291096,0.01013867205334728
최대주주 보호예수 기간,0.018849325359062547,0.026863119,0.01168679392286716,0.0,0.007688037885201332
