,RandomForest,XGBoost,LightGBM,LogisticRegression,GradientBoosting
청약경쟁률,0.17413216507172277,0.23377708,0.13181291070738307,0.0,0.30354209872550825
의무보유확약비율,0.1339897717259534,0.11148917,0.12214920757634326,0.0,0.16133487391883716
단순 기관경쟁률,0.10379485554674901,0.066665925,0.09663703131039815,0.0,0.0835127796268958
(확정)공모가격,0.09050080070295281,0.10568314,0.07653652879783533,0.0,0.12733182440245355
보호예수 비율,0.07558989067846254,0.051079888,0.09045226130653267,0.0,0.09527702454784247
영업이익,0.06369378835985183,0.06264309,0.05411673753382296,0.4177215189873427,0.041848383209237255
최대주주 소유주 비율,0.06107069915772669,0.049056098,0.09547738693467336,0.0,0.03732685563955868
매출액,0.05927067922098032,0.039787147,0.05991495941244685,-0.10126582278481089,0.029104050488796905
자본금,0.0578213313058266,0.049977306,0.06571318129107073,0.13924050632911344,0.04019142873893532
총부채,0.05335149892303142,0.059016034,0.05373018940858137,0.02531645569620229,0.028442403017885046
총자산,0.05213417339971202,0.05494821,0.06030150753768844,0.40506329113924133,0.023995885216765857
공모후 발행주식수,0.049467741839516945,0.05161072,0.07112485504445304,0.11392405063291094,0.02049899913840134
최대주주 보호예수 기간,0.025182604067513558,0.0642662,0.022033243138770777,0.0,0.007593393328882249
