Date,성장_긍정,성장_부정,민감_긍정,민감_부정,방어_긍정,방어_부정,금융_긍정,금융_부정
2014-02-19,0.212314587,0.271781334,0.248349461,0.231680691,0.25872886,0.252345153,0.293168461,0.278204266
2014-02-20,0.193651211,0.296294791,0.198609949,0.274631223,0.218717277,0.284816801,0.251683317,0.320810677
2014-02-21,0.177274412,0.260792653,0.178127044,0.198740224,0.173211183,0.25787731,0.162757093,0.259991385
2014-02-22,0.312890845,0.295671618,0.346849409,0.265628231,0.349119563,0.26676431,0.348156637,0.264431273
2014-02-23,0.275158871,0.312804815,0.323348881,0.299901456,0.312075709,0.299059028,0.360309865,0.31557464
2014-02-24,0.26705925,0.268726621,0.261713438,0.250497508,0.273005807,0.260426879,0.298241868,0.279740037
2014-02-25,0.260617874,0.278940951,0.285282764,0.254757439,0.282709271,0.264348253,0.333183615,0.29634965
2014-02-26,0.202166472,0.285074655,0.219040077,0.267795059,0.260045258,0.283633886,0.294144122,0.30538505
2014-02-27,0.257959887,0.268653696,0.287948368,0.247105253,0.296910808,0.241463432,0.357211377,0.279039042
2014-02-28,0.213320962,0.262089167,0.234893197,0.236575267,0.229150746,0.260279073,0.249928106,0.264006394
2014-03-01,0.269099844,0.290390014,0.266933648,0.278639726,0.282634268,0.27380069,0.294600017,0.276062431
2014-03-02,0.272908668,0.296450007,0.308473579,0.281120476,0.314981343,0.288600005,0.341432124,0.300048812
2014-03-03,0.209697715,0.28580971,0.236179654,0.258259937,0.249385839,0.261857487,0.293657558,0.28846481
2014-03-04,0.202172251,0.271526483,0.239005425,0.272320625,0.225442293,0.238052394,0.257480803,0.25777735
2014-03-05,0.263177218,0.29430914,0.309359506,0.261283977,0.286496798,0.254580533,0.330412664,0.287305869
2014-03-06,0.21267658,0.246053242,0.262105672,0.236415388,0.253458757,0.229378867,0.321076034,0.260469738
2014-03-07,0.229960135,0.262319259,0.279190427,0.250109358,0.240908486,0.23296144,0.290374629,0.281337488
2014-03-08,0.322968748,0.286959044,0.286665014,0.235143083,0.321740042,0.256998197,0.324774167,0.250060715
2014-03-09,0.291882347,0.306852235,0.338590729,0.288462795,0.340375086,0.297461308,0.367357484,0.302362854
2014-03-10,0.220192401,0.322809455,0.197334575,0.28912436,0.185629955,0.290146536,0.194995511,0.298411416
2014-03-11,0.252773922,0.273385989,0.266971883,0.262571493,0.25125746,0.245254715,0.274384684,0.260360122
2014-03-12,0.185495732,0.352219293,0.17609862,0.304185605,0.17048869,0.297775215,0.241026678,0.341698315
2014-03-13,0.193839516,0.250066217,0.216876016,0.226647351,0.213762835,0.218003811,0.271342666,0.256687249
2014-03-14,0.17595241,0.310385788,0.206237405,0.30296092,0.226074227,0.302054797,0.220978538,0.329952753
2014-03-15,0.322845456,0.338855383,0.363489662,0.334159884,0.364387842,0.333362237,0.34948016,0.336971625
2014-03-16,0.269320409,0.320632794,0.30939518,0.294610194,0.306928286,0.299505047,0.352728135,0.32606697
2014-03-17,0.182616342,0.289871259,0.236657478,0.278322131,0.213095118,0.250036184,0.289678905,0.303842784
2014-03-18,0.219038516,0.251439153,0.249695754,0.231208248,0.235530961,0.2253254,0.294808561,0.261774858
2014-03-19,0.186550969,0.287512416,0.209970234,0.286287369,0.208535322,0.286318274,0.251553337,0.299491838
2014-03-20,0.204111916,0.234770845,0.22362125,0.250101425,0.226631106,0.239698023,0.266496871,0.265306095
2014-03-21,0.209428353,0.30049765,0.197811194,0.237726065,0.221348591,0.272465638,0.246443797,0.280776595
2014-03-22,0.305212192,0.277210689,0.312582082,0.243581452,0.329826502,0.255767717,0.310822729,0.234567721
2014-03-23,0.275779724,0.308538523,0.293782687,0.294976788,0.341807577,0.317668209,0.339235503,0.314432187
2014-03-24,0.263347474,0.301810759,0.277032818,0.21579912,0.285702541,0.246299826,0.336109273,0.263558752
2014-03-25,0.234547062,0.272443398,0.273421354,0.277698848,0.27795152,0.263146918,0.288947762,0.270751664
2014-03-26,0.248600159,0.277190481,0.273412095,0.221684524,0.24123432,0.219292842,0.324686611,0.252565547
2014-03-27,0.249529412,0.282238533,0.257492118,0.252605896,0.262640781,0.268280047,0.281402401,0.272826689
2014-03-28,0.179760076,0.24792145,0.22753919,0.225041238,0.214892796,0.225783812,0.26414996,0.226917599
2014-03-29,0.342763888,0.277281144,0.359940793,0.262807741,0.351112444,0.25182176,0.356614687,0.255735808
2014-03-30,0.265087261,0.315513987,0.301436301,0.282913188,0.301312041,0.277590624,0.342024837,0.305810535
2014-03-31,0.218382731,0.254991626,0.267994349,0.257617563,0.268406937,0.230825958,0.308567403,0.239975202
2014-04-01,0.225189093,0.279923118,0.245855477,0.235309295,0.267489428,0.248240176,0.314864542,0.288997912
2014-04-02,0.217722083,0.262228218,0.250182745,0.234328377,0.260115143,0.235817835,0.276467927,0.244427058
2014-04-03,0.16599141,0.282846079,0.211219501,0.282632593,0.221816367,0.293223508,0.257717342,0.312831416
2014-04-04,0.128604811,0.219187176,0.202128437,0.173688682,0.140079534,0.166463504,0.207741411,0.203191061
2014-04-05,0.360552018,0.308000563,0.327733054,0.250589877,0.324942884,0.242978856,0.345313916,0.263432822
2014-04-06,0.265564918,0.300986962,0.306726291,0.271700056,0.306230091,0.282667532,0.3496613,0.308183476
2014-04-07,0.194213418,0.302325868,0.211844261,0.272204898,0.210158545,0.270751929,0.213255454,0.288763781
2014-04-08,0.219818443,0.286240555,0.254983548,0.291421741,0.247858671,0.275320384,0.263808809,0.296174786
2014-04-09,0.256623699,0.310217577,0.287035319,0.261888428,0.258740392,0.259536962,0.301630257,0.290410342
2014-04-10,0.221093601,0.276818149,0.241918922,0.25109951,0.247690339,0.263646008,0.269626385,0.278313193
2014-04-11,0.199549582,0.314027605,0.207749556,0.310121757,0.219135834,0.31338296,0.215749896,0.300109219
2014-04-12,0.319588317,0.310968707,0.346223159,0.291083061,0.354441689,0.297309305,0.3434093,0.294621238
2014-04-13,0.261510949,0.321200283,0.294013391,0.292945948,0.288907716,0.296045865,0.343737955,0.31951238
2014-04-14,0.243601657,0.277856545,0.253975946,0.244873444,0.233364091,0.238180384,0.271731678,0.263142469
2014-04-15,0.26628118,0.283311314,0.288285344,0.241475977,0.280951864,0.244231349,0.330867925,0.275859042
2014-04-16,0.17564586,0.268067759,0.207402779,0.246581507,0.215624251,0.271608189,0.268715229,0.294803485
2014-04-17,0.240985127,0.299343577,0.271668742,0.294905187,0.239791808,0.280972954,0.29709162,0.292664041
2014-04-18,0.261302844,0.271012787,0.270397731,0.201933404,0.248043566,0.224345488,0.295731321,0.255364806
2014-04-19,0.337363012,0.307910461,0.337948149,0.281141708,0.341417116,0.275502701,0.336183638,0.276166948
2014-04-20,0.291646381,0.301100816,0.3161933,0.282747692,0.318769829,0.283267344,0.334452645,0.29610568
2014-04-21,0.239117604,0.266979759,0.223687054,0.236302088,0.225113055,0.239645131,0.244942209,0.233315772
2014-04-22,0.215463299,0.293595366,0.259779828,0.242610216,0.244866678,0.266903834,0.312209688,0.312777577
2014-04-23,0.247299508,0.297029966,0.254230476,0.271370356,0.269765249,0.277469498,0.319041008,0.310753562
2014-04-24,0.266778489,0.275426417,0.300646208,0.244044337,0.274484374,0.239041521,0.320119688,0.259006683
2014-04-25,0.242612142,0.297815457,0.250696824,0.280367653,0.250347491,0.271266502,0.254569095,0.291923537
2014-04-26,0.374305189,0.321599432,0.378011099,0.307870335,0.369164805,0.286776063,0.367824594,0.313838592
2014-04-27,0.293442628,0.301564254,0.310363027,0.267263055,0.33786246,0.297795742,0.340939063,0.288590992
2014-04-28,0.2716627,0.270900466,0.289109579,0.244436313,0.277801083,0.246101696,0.296493491,0.268688968
2014-04-29,0.248057457,0.275269407,0.267297909,0.255734225,0.254251738,0.251684914,0.267391806,0.255650732
2014-04-30,0.22439227,0.263518984,0.219088834,0.233206384,0.249587339,0.258577229,0.265871537,0.265730232
2014-05-01,0.258360975,0.272702431,0.288615779,0.272979061,0.289309932,0.261506985,0.325719426,0.278943391
2014-05-02,0.232648061,0.227173761,0.244174792,0.209562967,0.235207503,0.210190317,0.248462398,0.221699129
2014-05-03,0.269257163,0.297266997,0.317557494,0.306135767,0.341560137,0.31481715,0.334106726,0.298113897
2014-05-04,0.258664567,0.279199488,0.295066952,0.292689615,0.315224637,0.299780607,0.302837899,0.280594521
2014-05-05,0.254986062,0.305115586,0.29669972,0.327001486,0.322141689,0.329669481,0.299635932,0.303540988
2014-05-06,0.272939984,0.314911004,0.31382023,0.288559602,0.320416472,0.305819309,0.341251871,0.306629861
2014-05-07,0.255778078,0.249709853,0.246328006,0.237847458,0.278125704,0.244525077,0.287723852,0.268413152
2014-05-08,0.179499553,0.212378492,0.20662377,0.206792429,0.210612716,0.210560562,0.23740115,0.226491878
2014-05-09,0.202474141,0.270043923,0.224223297,0.274243128,0.22948263,0.261411768,0.272692792,0.285160873
2014-05-10,0.33874287,0.301711827,0.316526554,0.286069199,0.298069663,0.276681143,0.32752952,0.283798804
2014-05-11,0.264868104,0.285393409,0.280756373,0.264003939,0.312174033,0.279110184,0.32133852,0.281357
2014-05-12,0.283402145,0.279108141,0.296085281,0.267802971,0.29499939,0.260500731,0.312641627,0.262199733
2014-05-13,0.247018655,0.255823223,0.276402369,0.23962528,0.262849064,0.238212555,0.298872636,0.246327167
2014-05-14,0.232162991,0.257820201,0.277754676,0.261881229,0.272984319,0.257298166,0.284219011,0.259585547
2014-05-15,0.218477409,0.279561638,0.26452534,0.288038254,0.252391029,0.276663156,0.2578709,0.280408735
2014-05-16,0.187723825,0.245345976,0.211787761,0.212231805,0.201485586,0.201802209,0.248745913,0.232326211
2014-05-17,0.312429717,0.316220743,0.336053833,0.290124974,0.345315045,0.276810628,0.359911664,0.295245414
2014-05-18,0.274881798,0.305800557,0.32191999,0.290496861,0.322655421,0.295735671,0.345832501,0.306227732
2014-05-19,0.272989053,0.307486436,0.265010879,0.26826726,0.280635002,0.272568355,0.346978279,0.318158503
2014-05-20,0.248626141,0.279552677,0.260898841,0.245850141,0.274477171,0.263524006,0.3041482,0.287275915
2014-05-21,0.254981584,0.308116811,0.290247671,0.288103646,0.289229203,0.304295832,0.310644443,0.316169762
2014-05-22,0.308126811,0.293986425,0.314083034,0.252351047,0.31544904,0.267445572,0.331567717,0.279991066
2014-05-23,0.263027912,0.267668407,0.298343011,0.25218244,0.280054312,0.252154648,0.326454007,0.277385815
2014-05-24,0.31745053,0.29262281,0.34789749,0.266226587,0.372293471,0.286099324,0.365716426,0.260315275
2014-05-25,0.278042004,0.306275578,0.305482024,0.270291148,0.328830364,0.291616097,0.361605928,0.31209715
2014-05-26,0.357677469,0.310418451,0.325351598,0.24189545,0.338343698,0.275610599,0.384052202,0.294365439
2014-05-27,0.246719554,0.297154248,0.289261057,0.262718458,0.277931819,0.273009559,0.301679469,0.273941952
2014-05-28,0.245068703,0.309463438,0.240426307,0.252997173,0.228586269,0.271442637,0.299149599,0.315711784
2014-05-29,0.244401536,0.294073001,0.26656633,0.264655545,0.276460637,0.292256465,0.297281974,0.307384841
2014-05-30,0.186693001,0.26120132,0.22114123,0.27544004,0.188175053,0.237442492,0.247647837,0.276525
2014-05-31,0.248453769,0.295915139,0.268231408,0.304335731,0.30793507,0.296475322,0.282810437,0.295069959
2014-06-01,0.300079443,0.300799033,0.324979456,0.274189354,0.332544972,0.291170917,0.370800413,0.299208253
2014-06-02,0.203888378,0.256143997,0.246801395,0.260527392,0.242559249,0.250515838,0.279455233,0.287307355
2014-06-03,0.242222714,0.280775143,0.251196597,0.24516021,0.223444986,0.226777968,0.284300088,0.271256427
2014-06-04,0.283803234,0.315048295,0.292139305,0.286605475,0.301209956,0.29749575,0.321014297,0.303819506
2014-06-05,0.208584321,0.241079693,0.247730437,0.220369386,0.223426896,0.213159894,0.249940097,0.231403516
2014-06-06,0.234434725,0.314877142,0.286262454,0.3223913,0.295555252,0.32552098,0.303329661,0.314752729
2014-06-07,0.264944465,0.300088031,0.30311876,0.295096595,0.318393295,0.296348302,0.314019646,0.300892884
2014-06-08,0.276325705,0.304699741,0.326783574,0.287040869,0.338691184,0.296442479,0.35728516,0.304653341
2014-06-09,0.26696321,0.281349902,0.243141677,0.247692912,0.257415319,0.249544649,0.273202452,0.264547884
2014-06-10,0.208677331,0.300869015,0.220883957,0.261860873,0.242814313,0.271839248,0.280003253,0.316973121
2014-06-11,0.179349118,0.294427566,0.218091279,0.294603294,0.221039289,0.295075757,0.23699779,0.297444981
2014-06-12,0.235848596,0.28201445,0.259402501,0.257485978,0.266163276,0.263984937,0.303853082,0.294944627
2014-06-13,0.188589261,0.307086215,0.23640754,0.286344862,0.222850588,0.277989646,0.256508492,0.321426397
2014-06-14,0.27727285,0.292157116,0.332175511,0.297451073,0.337535004,0.288674085,0.334725308,0.280788569
2014-06-15,0.265959494,0.301089585,0.308799076,0.278740823,0.305072531,0.275999586,0.334000164,0.302091321
2014-06-16,0.22224897,0.276586846,0.248371289,0.260403855,0.230289065,0.259430302,0.268176537,0.289633552
2014-06-17,0.193978712,0.273999725,0.220783086,0.257526376,0.211944273,0.259220932,0.28306053,0.310586953
2014-06-18,0.234681587,0.262185481,0.275096235,0.246526673,0.255132297,0.237962175,0.324447575,0.279670729
2014-06-19,0.188820283,0.272319795,0.200945232,0.232871912,0.214416945,0.24842733,0.242227013,0.267446075
2014-06-20,0.189896084,0.272149185,0.246578525,0.228334278,0.210445414,0.213060845,0.297544482,0.275949698
2014-06-21,0.242943594,0.314178996,0.28115719,0.31510585,0.296891834,0.311907319,0.303001715,0.327263117
2014-06-22,0.277929178,0.310971508,0.319436756,0.309656175,0.331659053,0.307153397,0.348149624,0.312511451
2014-06-23,0.260199837,0.271617749,0.291961814,0.248098416,0.264954517,0.253785945,0.277524092,0.258038459
2014-06-24,0.198412754,0.28694209,0.227879295,0.262866369,0.220281407,0.268127973,0.25152451,0.291527283
2014-06-25,0.229202665,0.301756057,0.25577761,0.292682565,0.234792863,0.290873431,0.236054397,0.311108574
2014-06-26,0.240621235,0.272452253,0.264701281,0.229335165,0.243127423,0.252178631,0.304933605,0.288950072
2014-06-27,0.20216963,0.28039848,0.205848591,0.25539976,0.204143755,0.264868583,0.235403528,0.300678316
2014-06-28,0.215575476,0.268272781,0.224160739,0.258552574,0.244237276,0.237543569,0.247398219,0.269109224
2014-06-29,0.269224325,0.323444387,0.292031447,0.30654718,0.30149291,0.315505834,0.33202357,0.329909875
2014-06-30,0.261890715,0.248022611,0.289615403,0.246202078,0.288492297,0.24899669,0.327331981,0.270473264
2014-07-01,0.25789923,0.245251838,0.293021852,0.242138614,0.281268779,0.243374274,0.321476613,0.255936896
2014-07-02,0.25415357,0.253843502,0.28141056,0.239952574,0.246532663,0.208956679,0.323164783,0.256803885
2014-07-03,0.262943431,0.2503573,0.304298021,0.234034841,0.280277588,0.225570777,0.342305334,0.25933468
2014-07-04,0.230780879,0.271556925,0.274603091,0.222163454,0.212911502,0.224809749,0.305586192,0.273836304
2014-07-05,0.222578813,0.252797159,0.269932,0.295786196,0.292780469,0.247851626,0.300554873,0.278993221
2014-07-06,0.287835548,0.305988241,0.320452273,0.302062472,0.342266489,0.3104822,0.354378719,0.315655347
2014-07-07,0.241338353,0.298050882,0.247046005,0.276323576,0.242942362,0.265824565,0.259324307,0.289730889
2014-07-08,0.235436403,0.282007902,0.268721585,0.275659715,0.249037986,0.270375631,0.283793434,0.285994466
2014-07-09,0.185044738,0.27811225,0.191918083,0.248870497,0.160164068,0.241744209,0.262790979,0.289610224
2014-07-10,0.216858085,0.263528747,0.229419472,0.243736612,0.198306173,0.223552141,0.25684286,0.270270545
2014-07-11,0.164140235,0.28080437,0.206392955,0.286302504,0.21654859,0.274627255,0.248255779,0.308139381
2014-07-12,0.262378556,0.272431344,0.262136163,0.306913664,0.315803004,0.261931393,0.313576625,0.291863377
2014-07-13,0.251455057,0.306546414,0.305889101,0.30424962,0.299076277,0.294093785,0.339958096,0.319256383
2014-07-14,0.275229274,0.252530841,0.290827618,0.230760449,0.281132561,0.224374904,0.329839884,0.251291045
2014-07-15,0.249004135,0.238826296,0.285784342,0.215294501,0.244505806,0.213730541,0.337993622,0.265262927
2014-07-16,0.268926189,0.284741451,0.287444546,0.239654511,0.271173496,0.242189391,0.323857777,0.284397053
2014-07-17,0.16566716,0.277870143,0.203098985,0.265473304,0.201868641,0.259796917,0.265096535,0.301242373
2014-07-18,0.213886651,0.258776688,0.215186972,0.220199057,0.187004072,0.207451576,0.242131465,0.249753922
2014-07-19,0.252339753,0.280981723,0.271111048,0.301386172,0.299436158,0.251097911,0.32785839,0.303823236
2014-07-20,0.258064602,0.310742514,0.304251104,0.298939391,0.314824957,0.316491218,0.344782339,0.320055911
2014-07-21,0.245333529,0.268762411,0.274772262,0.253406983,0.25074292,0.254454971,0.266423221,0.272681619
2014-07-22,0.284639374,0.254165427,0.299373586,0.234630868,0.298803963,0.240552085,0.322567481,0.24916769
2014-07-23,0.212644572,0.279871155,0.240868204,0.239466546,0.197668728,0.252467113,0.266791078,0.298935865
2014-07-24,0.246354129,0.252685403,0.280652614,0.222911519,0.254764235,0.217257998,0.292711748,0.240462401
2014-07-25,0.20106848,0.322229502,0.228961639,0.32326633,0.187799726,0.303636647,0.220610622,0.331273155
2014-07-26,0.309538508,0.290222944,0.33238446,0.291739066,0.343249919,0.273990092,0.35248179,0.297345039
2014-07-27,0.277730358,0.316602387,0.328142388,0.304974559,0.316177789,0.304652439,0.371425928,0.329660568
2014-07-28,0.205834722,0.275649916,0.279166053,0.282948924,0.244136361,0.244349964,0.308077561,0.298249635
2014-07-29,0.273318199,0.254416707,0.320546576,0.21960404,0.287699041,0.236971245,0.346765337,0.247195537
2014-07-30,0.227997495,0.261397356,0.280969056,0.249641271,0.265259299,0.262425282,0.300980846,0.281801781
2014-07-31,0.149207352,0.284480481,0.209979258,0.304292091,0.197352575,0.286015899,0.233067483,0.327933245
2014-08-01,0.159132019,0.25698114,0.220765977,0.272652177,0.215302578,0.263338857,0.223949574,0.27635123
2014-08-02,0.245990373,0.301482884,0.286888048,0.307150247,0.304152661,0.304554343,0.284256746,0.295949944
2014-08-03,0.272140326,0.304462468,0.311771182,0.284494988,0.312135774,0.299316617,0.367910937,0.318422506
2014-08-04,0.232593342,0.264651919,0.299787346,0.249542046,0.274154354,0.25208128,0.329806292,0.276978934
2014-08-05,0.241080007,0.274159265,0.267226528,0.273756562,0.237010767,0.262394881,0.289335449,0.298254595
2014-08-06,0.19432043,0.291965957,0.219913063,0.27069048,0.217629441,0.275225616,0.242371182,0.312962582
2014-08-07,0.155960463,0.262759472,0.199149162,0.234555667,0.189691598,0.229173283,0.261505874,0.280891049
2014-08-08,0.204999338,0.22113077,0.230820025,0.214451898,0.206856784,0.200230244,0.228272471,0.20267188
2014-08-09,0.224475921,0.270560556,0.23237724,0.245668609,0.244785869,0.254139119,0.244136752,0.252996522
2014-08-10,0.251889338,0.320276036,0.287160435,0.319639351,0.302305735,0.315821364,0.321754583,0.342677888
2014-08-11,0.227091759,0.270205513,0.270605596,0.273955838,0.246400578,0.257185568,0.258480953,0.259052537
2014-08-12,0.20047786,0.257497779,0.251135608,0.251721011,0.22950705,0.245732366,0.268933708,0.259767605
2014-08-13,0.261870472,0.25667368,0.261815243,0.249261366,0.28391274,0.249465029,0.278231718,0.239042616
2014-08-14,0.249235796,0.27291251,0.300123778,0.277899545,0.295747692,0.262615684,0.293302678,0.264025863
2014-08-15,0.25319536,0.263993774,0.325206061,0.270322903,0.312204372,0.253683567,0.35221785,0.268792709
2014-08-16,0.256790688,0.308372611,0.304528956,0.307420107,0.317593745,0.318697339,0.314595053,0.306437087
2014-08-17,0.281791697,0.303790588,0.326297135,0.284442685,0.319410613,0.288933037,0.366654114,0.315813769
2014-08-18,0.234870705,0.248907557,0.248348884,0.23953793,0.258756873,0.238085857,0.2971066,0.262985087
2014-08-19,0.221023808,0.253451299,0.262100094,0.245743875,0.247593733,0.237146901,0.283858992,0.262453443
2014-08-20,0.23958376,0.290104137,0.236101487,0.242937824,0.228660778,0.251262126,0.274396987,0.288405177
2014-08-21,0.205011298,0.218361419,0.24062656,0.223011786,0.224691282,0.216995126,0.268744364,0.238538845
2014-08-22,0.178989418,0.224560846,0.191999277,0.201311711,0.210078081,0.223719533,0.200846045,0.224999438
2014-08-23,0.238348549,0.240093405,0.262871462,0.229741555,0.295042726,0.257806629,0.271431028,0.227611261
2014-08-24,0.269782537,0.283441569,0.273324968,0.262173672,0.295378897,0.269142308,0.306596293,0.270069518
2014-08-25,0.247754344,0.21388818,0.227294563,0.169007795,0.22079029,0.170987739,0.255218176,0.187752951
2014-08-26,0.260685331,0.262130986,0.303975705,0.255768463,0.278485392,0.246895621,0.315597955,0.269020858
2014-08-27,0.25337393,0.243691226,0.267093198,0.208177086,0.249247356,0.20983668,0.325308608,0.247379088
2014-08-28,0.183844052,0.253042768,0.210075345,0.226803651,0.196089622,0.23245538,0.240992313,0.246590514
2014-08-29,0.200493828,0.245927254,0.222579742,0.238300165,0.221756495,0.238328989,0.251482953,0.268442019
2014-08-30,0.302382544,0.274728214,0.292553334,0.214714154,0.315856113,0.24257562,0.312410585,0.229919065
2014-08-31,0.28499363,0.291909861,0.319967239,0.278839261,0.319630241,0.27651292,0.356799333,0.285229244
2014-09-01,0.22938908,0.241214336,0.234106388,0.208679116,0.266140393,0.222450635,0.262780777,0.238691661
2014-09-02,0.21749534,0.249586408,0.232445398,0.227810915,0.238437364,0.232810215,0.244403151,0.237977091
2014-09-03,0.233100873,0.27089651,0.235978066,0.246226581,0.237254314,0.247484295,0.244245718,0.245520006
2014-09-04,0.219261004,0.226221622,0.233326075,0.205887612,0.22748858,0.213968012,0.256718373,0.22728252
2014-09-05,0.155245129,0.214437917,0.206354787,0.236785047,0.196551019,0.23795176,0.229657151,0.24544902
