,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.06330536134413867,0.032324895,326,0.04412153502035688,0.0
의무보유확약비율,0.08568184362194745,0.05949246,595,0.12081597861461395,0.0
(확정)공모가격,0.052140053934550006,0.062769085,308,0.07678655933065512,0.0
청약경쟁률,0.09947606175264602,0.11024982,597,0.22582187627879818,0.0
공모후 발행주식수,0.03369840007854421,0.021892643,213,0.016827028700246813,0.0
최대주주 소유주 비율,0.03189171558833719,0.034015805,298,0.04009010095407462,0.0
최대주주 보호예수 기간,0.018103129934029565,0.032391172,59,0.012245661189737495,0.0
보호예수 비율,0.05634174541781307,0.031897057,415,0.0528208285609795,0.0
총부채,0.034119164782458695,0.03679599,172,0.01242473871746235,0.0
자본금,0.03161681519453945,0.037772875,237,0.02812396145113746,0.0
영업이익,0.028961183578208424,0.045204673,161,0.03350034721827734,-0.0012903225806451424
매출액,0.03162129382685712,0.028885229,135,0.01847658103011766,0.0012903225806451756
부채비율,0.02692678567814494,0.017820137,230,0.023787839237649232,0.0
유동비율,0.02803704550033135,0.03253658,223,0.021941145907171986,0.0
영업이익률,0.02691541830510935,0.037835557,138,0.017580882221115385,0.0
당기순이익률,0.0255359989773741,0.023685746,179,0.022496697319693,0.0
ROE,0.03387128838346394,0.038367927,282,0.03310002098792249,0.0
EPS,0.03384953445792339,0.03108977,128,0.021632388890092426,0.0
EV/영업이익,0.036577363426923346,0.029799331,227,0.03678015187007633,0.0
기업경기실사지수(BSI),0.018695155577073685,0.015235026,89,0.004590378029206769,0.0
소비심리지수(CSI),0.025768923444690575,0.027432421,237,0.022294481182326267,0.0
수출입 물량지수,0.026407515309474192,0.03231638,212,0.021808198594442964,0.0
외환보유액,0.03777604259497851,0.02792541,206,0.027932037231770148,0.0
원달러 환율,0.03170245360500992,0.039799184,163,0.019986129336621524,0.0
통화량 (M2),0.03372322374064219,0.0407871,71,0.014350298856791927,0.0
기준금리,0.012927364626255662,0.028340686,70,0.0071510541787472275,0.0
국고채 금리 스프레드,0.034329117318535,0.043337017,213,0.02251309908991511,0.0
