,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.07069050541036327,0.054987397,890,0.06612096995390855,0.0
의무보유확약비율,0.09946143268923588,0.06783912,1739,0.12423340189796377,0.0
(확정)공모가격,0.06294429561930176,0.055452246,950,0.0824905141010997,0.0
청약경쟁률,0.11786279762816118,0.117761955,1853,0.17810629724411806,0.0
공모후 발행주식수,0.03889828750758851,0.03349526,389,0.027170773075158524,0.014838709677419393
최대주주 소유주 비율,0.048395452497750215,0.036745436,886,0.029484011822832803,0.0
최대주주 보호예수 기간,0.022749243956285102,0.040312055,165,0.03131986696904979,0.0
보호예수 비율,0.05887538952737976,0.039908424,1042,0.06816474820751152,0.0
총부채,0.04142958827565122,0.03417591,530,0.030367547873325684,0.0
자본금,0.04570463619787179,0.036100656,636,0.043621668935042664,0.005161290322580681
영업이익,0.0464058756169713,0.042519115,598,0.0400467749674676,0.03161290322580651
매출액,0.04254772140459246,0.036738064,420,0.030113127441615727,0.03225806451612908
기업경기실사지수(BSI),0.028697710031875344,0.037558254,359,0.028190800428635674,0.0
생산자물가 상승률 (PPI),0.03538744452444326,0.039724674,623,0.02636199871909703,0.0
소비심리지수(CSI),0.03134092610304449,0.0398524,483,0.02621485242453173,0.0
소비자물가 상승률 (CPI),0.028766020807763085,0.035953663,560,0.025394895544941266,0.0
수출입 물량지수,0.034868458397958414,0.044018924,641,0.03838884760829526,0.0
외환보유액,0.03291176153672907,0.04044538,772,0.027561602908179543,0.0
원달러 환율,0.03275671362464958,0.037127562,732,0.0284794120116447,0.0
통화량 (M2),0.028853996792825364,0.033500437,345,0.008122493252046241,0.0
기준금리,0.013030649516420927,0.047410205,57,0.01152264045367337,0.0
국고채 금리 스프레드,0.037421092333138006,0.04837277,454,0.028522754159860587,0.0
