,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.11056784906967458,0.09751716,798,0.08127641422821955,0.0
의무보유확약비율,0.13825590111427422,0.11688319,1185,0.13990412793389626,0.0
(확정)공모가격,0.09222254762774632,0.08635325,703,0.10702953051241074,0.0
청약경쟁률,0.15613985926016266,0.1507434,1218,0.221489206657186,0.0
공모후 발행주식수,0.0542019597763309,0.059092667,769,0.04669877886677372,0.014838709677419393
최대주주 소유주 비율,0.07027775644027619,0.064910404,927,0.07027668438220638,0.0
최대주주 보호예수 기간,0.029629577410183315,0.06617688,230,0.021482655695971013,0.0
보호예수 비율,0.08829710112374632,0.07434815,958,0.0706462924503074,0.0
총부채,0.06340081885682457,0.06977503,579,0.057295860553989504,0.0
자본금,0.06495979648815614,0.07135501,740,0.06245309807376994,0.005161290322580681
영업이익,0.07021586197864461,0.072336316,647,0.07040647858911162,0.03161290322580651
매출액,0.0618309708539801,0.07050862,589,0.05104087205615768,0.03225806451612908
