기업명,year_key,month_key,단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,상장일,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,종가대비등락율,매출액,부채비율,유동비율,영업이익률,당기순이익률,ROE,EPS,EV/영업이익,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,부채비율 변화율,유동비율 변화율,영업이익률 변화율,당기순이익률 변화율,매출액 변화율,ROE 변화율,EPS 변화율,EV/영업이익 변화율,DLR,PPI (%),기업경기실사지수(BSI),기준금리,무역수지,생산자물가 상승률 (PPI),소비심리지수(CSI),소비자물가 상승률 (CPI),수출입 물량지수,외환보유액,원달러 환율,통화량 (M2),KOSPI_1001,국고채 금리 스프레드,대표매매감정점수,섹터
DSC인베스트먼트,2016,Dec_16,11.2,0,1700,11,2016-12-19,17500000,1833938590,9424633533,1807552839,280075244,6500000000,2403479033,267465007,1696693373,1311509021,109.4,3480121402,0.227635026,1.014597499,0.487538559,0.376857261,0.143006981,74.94337263,5.405186456,34.46,2,68.23,-0.11026109,-0.048729589,0.116146435,0.084210332,3480121401,-0.013265927,0.691848514,0.362899151,92.86,-266.67,-0.023094011,0,0.407260205,0.003004013,-0.03599298,0.001567792,0.407260205,-0.003167046,0.008929821,0.000653011,0.008365274,0.011679655,-0.178494,Sensitive
GRT(그레이트리치과기),2016,Oct_16,140.75,4.32,5000,7,2016-10-25,67500000,793157289,723506841,360476429,189137469,286411054,553308724,42799075,279633009,200645240,30,941632061,0.622778648,2.20030278,0.296966321,0.213082422,0.227355188,2.972522074,3.458283539,38.42,6,75,-0.867691625,1.024136945,-0.018562773,-0.020220626,941632060,-0.27242359,0.044465274,1.978823665,93.33,50,0.037190264,0,-0.168078047,0.001016933,0.005478134,0.002377326,-0.168078047,0.009243668,-0.022237672,0.005301809,-0.007504069,0.007683752,-0.348357,Sensitive
ING생명보험,2017,May_17,3.97,0.13,33000,0,2017-05-11,82000000,24660260,6008470,20091232,6430082,82000,1766107,1800991,321884,240741,-4.2,4265748,7.267909494,1.227414028,0.07545781,0.056435823,0.065972742,0.002935866,12.88481565,59.15,1,59.15,0.546608238,-0.02122763,-0.011742535,-0.008718498,4265747,-0.015016709,-0.000781134,2.439690797,57.14,17.65,0.026678058,0,-0.303601335,-0.001211083,0.022577542,-0.001212746,-0.303601335,0.000850482,-0.003606191,0.002411789,0.006921862,0.005706388,-0.705678,Infra
JTC,2018,Apr_18,478,24.17,8500,465,2018-04-06,35114625,1.54135E+11,78548060055,59905678491,38714374965,6102640791,1.18545E+11,4066918027,24908650677,19130774616,91.8,4.16563E+11,0.766191313,2.572968358,0.059795646,0.045925291,0.148629339,544.80931,5.382203299,58.96,5,65.74,-0.350890998,0.306599335,0.009478607,0.017946246,4.16563E+11,0.019646129,119.9374311,0.864042561,94.12,164.29,0.045426773,0,0.383996553,0.002337296,-0.007616916,0.004425301,0.383996553,0.004054808,0.01027081,0.001478235,0.010344321,0.006420824,0.042749,Protective
JW생명과학,2016,Oct_16,225,7.41,30000,220,2016-10-27,7917277,36186829815,1.45344E+11,75706826871,20993524053,39586385000,16909169240,0,11853577522,8398705961,43.2,67092448816,1.711645318,0.47798635,0.176675285,0.125181091,0.148661361,1060.807391,7.156538517,50,6,56.06,-0.069169813,0.006183126,0.028553473,0.023043732,67092448815,-0.08739289,-564.0205269,2.716569848,94.12,54.55,0.037190264,0,-0.168078047,0.001016933,0.005478134,0.002377326,-0.168078047,0.009243668,-0.022237672,0.005301809,-0.007507738,0.007683752,-0.175077,Growth
LG에너지솔루션,2022,Jan_22,2023,66.59,300000,69,2022-01-27,234000000,9860210,13752096,8977353,5412775,100000,303807,1586903,692737,858057,68.3,13412546,7.228641038,1.098342685,0.051648434,0.063974207,0.431030637,0.00366691,13.31266844,81.84,6,91.29,-29.83340959,-0.220485392,0.376894076,0.373180213,13412545,1.783893602,0.005597556,29.2329325,93.75,100,-0.006753212,0.173472167,0.129933072,0.005487495,-0.02490394,0.003079962,0.129933072,-0.005112596,0.004823037,0.003893766,-0.011001869,-0.00283963,-0.333035,Growth
SKC코오롱PI,2014,Dec_14,23.01,0,8000,46,2014-12-08,29366322,75787122656,1.79442E+11,36762916710,19159566806,18368700000,60479446202,-43368702000,20028343746,11433421958,-5.3,65437069512,1.5761939,2.061510061,0.306070304,0.17472393,0.322254821,389.3378939,9.95121601,27.03,6,58.59,0.503943677,-0.513812543,0.010951465,-0.017412001,65437069511,-0.209700094,-485.4581561,4.575501931,94.74,-180,-0.055578696,-0.06415003,0.298252466,-0.003367597,-0.004697869,-0.001484281,0.298252466,-0.001832038,0.012617455,0.004662099,0.005942667,-0.002887247,-0.714099,Sensitive
가온칩스,2022,May_22,1847.12,14.6,14000,2183,2022-05-20,11488320,29916404375,7076710460,13808071614,1323047300,4714160000,16368724338,23350724,6202436087,6182765868,93.6,32235607297,0.716902795,2.166588153,0.192409469,0.191799268,0.292935516,538.1784167,3.524743442,7.3,6,71.35,-0.6561797,0.01396254,0.076983482,0.083499555,32235607296,0.119464775,376.9936979,-1.985351852,94.44,150,0.05342826,0.107151675,-0.357561476,0.004970528,-0.009068785,0.000312846,-0.357561476,-0.007668068,0.010613382,0.003522397,-0.010197846,-0.04771572,-0.539253,Growth
강스템바이오텍,2015,Dec_15,11.35,0,6000,41,2015-12-21,13817150,9725685992,5258574223,2463290508,1215054054,5878575000,-14190382611,524451764,-3185874764,-3838642428,56,1340395841,-0.472348334,3.948249693,-2.37681636,-2.863812547,0.492932711,-277.8172364,-3.548763367,25.3,1,37.45,0.902325384,2.79735979,19.01619121,14.97357103,1340395840,-0.063521014,-9.050415317,-3.978219653,92.86,-100,-0.016037507,0,0.205951865,-0.002295012,-0.028965654,0.002466376,0.205951865,-0.003713803,-0.024905978,0.000331369,-0.009150138,-0.127068051,-0.133332,Growth
경보제약,2015,Jun_15,524.56,34.44,15000,264,2015-06-29,23906860,96928613178,73815393122,88702899776,15081480014,10758085000,49452192871,962713886,6707517932,4993011747,128.3,43348799729,1.696571915,1.092733309,0.154733648,0.115182238,0.08162118,208.8526786,9.982772642,60,6,68,0.102399068,-0.045807702,-0.008232307,0.064317057,43348799728,-0.056458592,-152.3806128,7.513188081,94.74,100,-0.026745337,-0.08247861,0.422364517,-0.000598748,-0.053331145,0.001471546,0.422364517,0.007921968,0.020438343,0.00401663,-0.006791373,0.180263114,-0.35719,Growth
