latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,date,latent_dim,dropout_rate,batchnorm,epochs,early_stopping_patience,batch_size,kernel_regularizer
2.758159,1.887641,3.182884,4.2864914,7.3034716,0.12524302,0.0,0.0,3.3610442,0.13135079,1.0513629,3.4668627,0.0,0.0,2.4352674,0.0,2014-02-17,16,0.2,True,100,5,32,True
2.7531831,1.8931276,3.1762414,4.290176,7.3068852,0.12630093,0.0,0.0,3.3611374,0.12819993,1.0559528,3.4694963,0.0,0.0,2.4308023,0.0,2014-02-18,16,0.2,True,100,5,32,True
2.7524197,1.8898011,3.1718006,4.288112,7.305984,0.13352466,0.0,0.0,3.3611276,0.12233084,1.0566745,3.4682672,0.0,0.0,2.4282813,0.0,2014-02-19,16,0.2,True,100,5,32,True
2.750343,1.8870922,3.1649868,4.2875733,7.3069186,0.1350749,0.0,0.0,3.3610559,0.11816395,1.0611728,3.4672554,0.0,0.0,2.427145,0.0,2014-02-20,16,0.2,True,100,5,32,True
2.7498899,1.8833909,3.1565404,4.2885637,7.307486,0.13130495,0.0,0.0,3.3617275,0.11935791,1.0693401,3.4661477,0.0,0.0,2.4305537,0.0,2014-02-21,16,0.2,True,100,5,32,True
2.7482088,1.8732954,3.13878,4.28942,7.3038073,0.117802,0.0,0.0,3.3615544,0.1270397,1.0891484,3.4545248,0.0,0.0,2.4434478,0.0,2014-02-24,16,0.2,True,100,5,32,True
2.7448285,1.869547,3.1278095,4.2960978,7.315388,0.10154429,0.0,0.0,3.365962,0.13033417,1.1068761,3.4553382,0.0,0.0,2.4518726,0.0,2014-02-25,16,0.2,True,100,5,32,True
2.7424667,1.8673148,3.126637,4.296575,7.32021,0.09867199,0.0,0.0,3.367207,0.12895617,1.1109748,3.4599185,0.0,0.0,2.4522953,0.0,2014-02-26,16,0.2,True,100,5,32,True
2.7344704,1.8657876,3.1187162,4.300013,7.3246503,0.08518433,0.0,0.0,3.367506,0.13125803,1.1214719,3.4628494,0.0,0.0,2.4556348,0.0,2014-02-27,16,0.2,True,100,5,32,True
2.725572,1.8617426,3.1185613,4.300106,7.3319273,0.079648554,0.0,0.0,3.367758,0.1253949,1.122279,3.4714756,0.0,0.0,2.4546354,0.0,2014-02-28,16,0.2,True,100,5,32,True
2.7179446,1.8553779,3.1131804,4.299835,7.3344097,0.0721734,0.0,0.0,3.367611,0.12385456,1.1283565,3.4727058,0.0,0.0,2.4585915,0.0,2014-03-03,16,0.2,True,100,5,32,True
2.7146802,1.8486353,3.1161964,4.295868,7.333715,0.07308778,0.0,0.0,3.3657837,0.122702695,1.1273657,3.475068,0.0,0.0,2.4620662,0.0,2014-03-04,16,0.2,True,100,5,32,True
2.7095532,1.8364384,3.115445,4.289103,7.328335,0.06995428,0.0,0.0,3.3616524,0.122426234,1.1270645,3.4744282,0.0,0.0,2.4698794,0.0,2014-03-05,16,0.2,True,100,5,32,True
2.698987,1.8312277,3.116533,4.2841363,7.3235555,0.06553028,0.0,0.0,3.3555431,0.12198341,1.1252997,3.4768786,0.0,0.0,2.4738297,0.0,2014-03-06,16,0.2,True,100,5,32,True
2.689211,1.8224938,3.1200156,4.2763915,7.3154316,0.06542092,0.0,0.0,3.3487084,0.12083106,1.1208214,3.476431,0.0,0.0,2.4792392,0.0,2014-03-07,16,0.2,True,100,5,32,True
2.6818564,1.8095499,3.125858,4.264107,7.297419,0.07371725,0.0,0.0,3.3390841,0.12041546,1.1106294,3.4723616,0.0,0.0,2.4845629,0.0,2014-03-10,16,0.2,True,100,5,32,True
2.677822,1.7980961,3.1281555,4.257793,7.2866297,0.071947955,0.0,0.0,3.3331914,0.12601101,1.1092703,3.468254,0.0,0.0,2.492935,0.0,2014-03-11,16,0.2,True,100,5,32,True
