단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,매출액,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,DLR,PPI (%),기업경기실사지수(BSI),기준금리,대표매매감정점수,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,Growth,Infra,Protective,Sensitive,등락율_이진
64,0.85,15000,566,15415766,26577142033,4193523801,2737712873,97030419,6677883000,-1.04E+11,-594948628,-5883016882,-46992569579,626634194,36.37,2,72.41,93.33,-60,10.76923077,0,-0.455581,0.89092886,0.34196794,3.6515548,0.462029,2.366497,0,0,0,1.7914281,4.708245,0,0.1249982,3.5296738,1.3674979,0,1,0,0,0,1
182,0.55,3500,346,29800000,54475387658,22101682136,15804685645,0,4820281110,50009501102,0,5941529650,4504016008,21319158034,42.49,2,73.47,93.33,30,0,0,-0.419571,0,1.6915933,1.1549019,1.9416953,1.4856354,0,0,0,0.6415086,0.9051362,1.8267479,2.0529406,1.6210433,3.6746788,0.33011466,0,0,0,1,1
56.9,1.02,20000,15,0,16344383721,11192426655,3503857874,0,251850000,23645247029,115840473,6757494882,5709351000,31593596970,0.91,6,64.46,93.75,-120,3.529411765,0,0.500262,1.7465534,1.0032773,3.1806371,0,0,0,0,0,2.707649,2.5018218,0,0,0.6355974,0,0.23583004,0,0,1,0,1
999,3.9,12300,1318,24982540,47170322827,1.23E+11,54096905670,29652578861,10549150000,74205611863,-5100972419,15321841368,5393043158,2.16E+11,74.13,6,81.33,93.33,100,10.76923077,0,-0.258072,0.90335435,0.21166076,3.5948133,0.47858247,2.3635008,0,0,0,1.6739898,4.723316,0,0.13054049,3.5394232,1.2983198,0,0,0,1,0,1
25,0,1700,91,11090000,19343211278,28988295780,9241649167,6235997795,4000000000,32628580096,-3774720000,1776558374,1302523594,26677140531,63.48,6,74.69,92.86,100,1.408450704,0,-0.99329,0,1.5132021,3.014371,4.4006033,0,0,0,1.8929149,0.69567186,1.7544864,2.120866,0.83424544,1.2889098,3.872259,1.2480444,0,0,0,1,1
124.6,0.64,40000,569,7947161,55235585173,62981546278,31343402643,10840655263,1303550000,1791216480,1508059427,-2299440714,-1376739403,26193304940,28.8,36,69.67,72.73,100,1.369863014,0,-0.33632,7.5744076,0.9030485,5.120845,4.1135583,0.36073387,0,0,0,2.0231113,5.219834,0,0,0.20205098,0,0,0,0,0,1,1
753,4.6,17000,590,8183944,8685,36231,16297,5968,3247,15055,-2261,2219,1666,8905,50.64,3,68.56,71.43,200,-5.479452055,0,0.19009,8.286532,0.719673,5.1664734,4.5610595,0.62709534,0,0,0,1.6344564,5.047087,0.1527466,0,0.16325185,0,0,1,0,0,0,1
863.94,5.48,10000,700,3923873,34611930084,34610425055,23586385716,17447258327,1934769500,10952693256,2804637420,1397023733,1013987653,11313519404,38.43,6,53.49,95,100,-5.333333333,0,-0.217157,0.28684732,0.35699993,1.713807,0.19447047,0.93117005,0,0,0,0.98383033,1.1035964,0.065544575,0.4201662,1.8647757,2.7177424,0.87827915,0,0,0,1,1
1613.16,17.84,10000,1312,12119500,1.04E+11,13436725328,48988090692,6624376725,4510980000,50068982368,-1351819108,8455090896,6780648438,1.65E+11,11.53,6,71.43,94.44,253.85,4.411764706,0,0.486743,5.469811,0.51293623,2.895729,1.7560287,1.7214546,0,0,0,0.52750295,2.058182,0,0,0,0,0,0,0,0,1,1
46.05,8,10000,32,9765000,82234835532,34669880674,42798454697,5265945501,4600000000,62740950530,1499365478,10640096331,8234773093,1.01E+11,37,6,46.21,93.33,-90,0,0,-0.121635,0,1.7843134,1.63619,3.1782796,0.5029134,0,0,0.5676656,0.5741591,1.5909127,2.309989,2.817173,1.2461376,3.6751304,0.3570604,0,0,0,1,0
32.53,2.88,12000,3,6596700,67900587370,16332898960,18534395151,2096541010,3000000000,16398353319,-9682063,968709862,815834084,18149985589,15.16,1,52.56,92.86,-133.33,-5.194805195,0,0.146236,0.354892,0.4336027,1.6972783,0.38311318,0.5147859,0,0.050130554,0,1.0182762,0.9688176,0.066495255,0.38186967,1.5254842,2.6773882,0.99804616,0,0,1,0,1
1547.13,12.01,5000,1772,7938930,8924235129,6877761486,4556137349,3204927196,612893000,5487695358,1338314532,1506944353,1282603809,20487739026,58.76,2,76.07,92.86,200,-2.857142857,0,0.169996,4.956217,0.76748955,2.4584684,1.4026513,1.8659489,0,0.16854349,0,0.39255774,1.2031026,0.13342585,0,0,0,0,0,0,1,0,1
39.3,0,16000,2,4560103,4574712110,13194250458,7029124663,4739847824,3990423000,-20900129986,22909697067,-298619714,-551353098,1563320811,11.35,2,38.24,94.44,-50,-5.333333333,0,-0.65924,0.44377682,0.1260903,1.7652615,0.2253258,1.0900146,0,0,0,0.84054625,1.2147862,0.20605834,0.37754613,2.0572727,2.710082,0.86849403,0,0,0,1,0
1295,6.63,20000,1243,3942587,12749494756,5918352006,7062090458,1999756621,1559293500,-3107878033,11154584216,483245767,955679386,3955606601,21.34,3,54.3,93.33,137.5,4,0,-0.142069,0.7764246,2.0635781,4.500753,0.034174163,2.6767852,0,0,0,3.191188,5.351734,0,0,2.676804,0,0,1,0,0,0,1
1723.21,24.75,13000,1637,19154328,11263053155,29057528964,7579657989,17004314026,8521414000,2864827822,591499224,2462049585,3765415401,26647370578,53.32,1,78.21,94.12,100,4.411764706,0,-0.021691,5.307971,0.6426851,2.7306433,1.6341906,1.8434076,0,0,0,0.4746888,1.769675,0.005467758,0,0,0,0,0,0,0,1,1
178.47,0.79,20000,4,6439038,74386774287,47153316306,37582198137,34695315003,25815190000,31217964196,17033141,12251474988,8944026358,1.07E+11,0.65,6,73.12,94.12,0,2.702702703,0,0.17024,6.1924515,0.59809196,3.7198792,2.5752134,1.1928008,0,0,0,1.0567188,3.3432448,0,0,0.061968867,0,0,0,0,1,0,0
102,0.2,17500,24,11059422,38009656315,88822108968,61563227235,5461750407,5213000000,22707710842,3055606829,18950476011,14711543852,1.04E+11,35.48,2,46.16,95.45,0,1.19047619,0,0.194847,1.8198825,1.3396966,3.5199838,0,0.2892914,0,0,0,3.0799603,2.9320319,0,0,0.8082823,0,0,0,0,0,1,0
108.34,3.62,37000,0,2950723,1.39E+11,43161168562,1.46E+11,22970835553,1320931000,17963200070,-7956785678,10325647608,7746897428,1.77E+11,65.29,6,69.16,93.33,100,0,0,-0.143704,0,1.7809124,1.6365237,3.1721249,0.51657265,0,0,0.5692957,0.56283987,1.5729582,2.3029637,2.7848449,1.2416661,3.6496704,0.34648496,1,0,0,0,0
63.17,0,8500,81,9480000,53009431413,0,800706373,0,37525000000,14796220778,-114595738,2921834972,2205757706,4923582944,72.5,6,73.63,95.83,-66.67,0,0,-0.123231,0,1.1492802,2.56307,1.2238493,0,0,0,0.011893846,1.8797728,1.8085284,0,1.1410522,1.318559,2.939281,1.0980126,0,0,0,1,0
822.09,6.14,3700,858,20588000,8875301672,1.25E+11,2279009410,11193405699,3500000000,1.15E+11,1608986644,1741510264,2672915876,6321035394,85,6,88,95.24,100,-5.194805195,16.66666667,-0.284757,0.35436508,0.7047745,1.8316356,0.611293,0.34290883,0,0.10640192,0,1.2244369,0.95459616,0.057955194,0.3586301,1.3652896,2.8685355,1.0954046,0,0,1,0,1
